source,source_id,name,category,sector,address,phone,website,rating,review_count,business_status,opening_hours,latitude,longitude,city,state,country
google_maps,Venus+silver+palace,Venus silver palace,Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,4.0,4,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Prime+Jewel+City,Prime Jewel City,Jewellery,Retail,"Jewelry store ·  · beside Inner Ring Road, near Ambitus international school",,,5.0,6,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Shine+Diamonds+Vijayawada,Shine Diamonds Vijayawada,Jewellery,Retail,"Jewelry store · Shop no B, Maruthi Towers, 405-2, Tikkle Rd, opp. Vani Sweets, near DV Manor Hotel Out Gate",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,J+P+Diamonds,J P Diamonds,Jewellery,Retail,"Diamond Merchant · Shop No.87, Swarnalok Complex, Kaleswararao Rd, opposite to Apsara Theatre",,,5.0,4,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,JYOTHI+BENTEX,JYOTHI BENTEX,Jewellery,Retail,"Jewelry store · Shop No 77-1/1-3A,PRAKASH NAGAR, near Andhra Bank",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Sree+Kala+Fancy+Stores,Sree Kala Fancy Stores,Jewellery,Retail,"Jeweler ·  · # 42-47-12, MK Baigh Road, Luna Centre, Ajith Singh Nagar",,,4.2,5,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Vijayalakshmi+fancy+and+bentex,Vijayalakshmi fancy and bentex,Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Sri+Srinivasa+fancy+%26+Embroidery,Sri Srinivasa fancy & Embroidery,Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,3.0,1,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Samavi+collections,Samavi collections,Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Lalithafancy,Lalithafancy,Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Anjali+Bentex+and+Fancy+Store,Anjali Bentex and Fancy Store,Jewellery,Retail,"Bangle Shop · Disney Land Road, opposite H1 Block",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,DC+Collections,DC Collections,Jewellery,Retail,Jewelry store · road,,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,VSL+FASHION+JEWELS,VSL FASHION JEWELS,Jewellery,Retail,"Jewelry store · 21-10/5-55/8A, Sri Nagar Colony, Street No. 5",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Lakshmi+collections,Lakshmi collections,Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,4.7,3,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Nidhi%27s+Rental+Jewellery,Nidhi's Rental Jewellery,Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Jyothi+Bentex+Jewellery+%26+Fancy,Jyothi Bentex Jewellery & Fancy,Jewellery,Retail,"Costume jewelry shop · Dno : 42, 2-25, Dabakotlu road",,,5.0,2,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Fashion+Jewellery,Fashion Jewellery,Jewellery,Retail,"Vijayawada, Andhra Pradesh 520008",,,,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Kotharis+Jewellers+Vijayawada,Kotharis Jewellers Vijayawada,Jewellery,Retail,Kotharis Jewellers Vijayawada,,,3.9,11,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
